Anno,Trimestre,Settore,Divisione,Regione,Provincia,Forma giuridica,Tipo ricerca,Registrate,Attive,Iscrizioni,Cessazioni non d ufficio,Saldo
2021,0,I Attività dei servizi di alloggio e di ristorazione,I 56 Attività dei servizi di ristorazione,SARDEGNA,CAGLIARI,SOCIETA' DI PERSONE,Totale imprese,1571,1219,3,50,-47
2021,0,B Estrazione di minerali da cave e miniere,B 08 Altre attività di estrazione di minerali da cave e miniere,SARDEGNA,ORISTANO,SOCIETA' DI CAPITALE,Totale imprese,7,4,0,0,0
2021,0,K Attività finanziarie e assicurative,K 66 Attività ausiliarie dei servizi finanziari e delle attivi...,SARDEGNA,ORISTANO,ALTRE FORME,Totale imprese,2,2,0,0,0
2021,0,S Altre attività di servizi,S 96 Altre attività di servizi per la persona,SARDEGNA,SASSARI,IMPRESE INDIVIDUALI,Totale imprese,1248,1240,66,44,22
2021,0,C Attività manifatturiere,C 16 Industria del legno e dei prodotti in legno e sughero (es...,SARDEGNA,SASSARI,ALTRE FORME,Totale imprese,14,5,0,0,0
2021,0,C Attività manifatturiere,C 30 Fabbricazione di altri mezzi di trasporto,SARDEGNA,CAGLIARI,SOCIETA' DI CAPITALE,Totale imprese,38,29,2,0,2
2021,0,"M Attività professionali, scientifiche e tecniche",M 69 Attività legali e contabilità,SARDEGNA,CAGLIARI,SOCIETA' DI PERSONE,Totale imprese,14,13,1,1,0
2021,0,J Servizi di informazione e comunicazione,J 61 Telecomunicazioni,SARDEGNA,CAGLIARI,ALTRE FORME,Totale imprese,2,0,0,0,0
2021,0,C Attività manifatturiere,C 17 Fabbricazione di carta e di prodotti di carta,SARDEGNA,CAGLIARI,ALTRE FORME,Totale imprese,1,0,0,0,0
2021,0,C Attività manifatturiere,C 14 Confezione di articoli di abbigliamento; confezione di ar...,SARDEGNA,ORISTANO,IMPRESE INDIVIDUALI,Totale imprese,20,20,1,2,-1
2021,0,H Trasporto e magazzinaggio,H 49 Trasporto terrestre e mediante condotte,SARDEGNA,ORISTANO,ALTRE FORME,Totale imprese,14,9,0,0,0
2021,0,C Attività manifatturiere,C 14 Confezione di articoli di abbigliamento; confezione di ar...,SARDEGNA,ORISTANO,SOCIETA' DI CAPITALE,Totale imprese,2,1,0,0,0
2021,0,F Costruzioni,F 43 Lavori di costruzione specializzati,SARDEGNA,SASSARI,IMPRESE INDIVIDUALI,Totale imprese,2572,2534,232,126,106
